h,TRUE,BIAS,SDEV,RMSE,CF95,CF95Length 
0.00,2.8483,-0.0195544654058759,1.51924554864175,1.51937138783942,0.927,1.4193869686421 
0.01,2.8483,-0.0104364950495439,0.301255349751474,0.301436073127955,0.9335,1.11407561585453 
0.02,2.8483,-0.00437780851679959,0.310562810985493,0.31059366505874,0.9355,1.16594255756556 
0.03,2.8483,0.0116357972872367,0.33731309298294,0.337513724870896,0.94,1.26432699570742 
0.04,2.8483,0.0143941553814759,0.355864949581583,0.356155940635347,0.941,1.34589280068525 
0.05,2.8483,0.00114878858785827,0.365787602847666,0.365789406779723,0.9515,1.41162015554606 
0.06,2.8483,-0.011142476937207,0.382389251581784,0.382551557986075,0.935,1.46591215326468 
0.07,2.8483,-0.0120823451020486,0.396225292251911,0.396409466692305,0.9475,1.50339477941437 
0.08,2.8483,0.0183874546339413,0.40925813555991,0.409670989953998,0.9355,1.53529221553268 
0.09,2.8483,-0.00931485481269378,0.41211027510598,0.412215532662354,0.941,1.55564183230267 
0.10,2.8483,0.00031602382130691,0.416207884765054,0.416208004742408,0.9395,1.57057166431595 
