h,TRUE,BIAS,SDEV,RMSE,CF95,CF95Length 
0.00,2.86605,-0.0161754629490445,0.445481906140504,0.445775475211673,0.937,1.14481076453799 
0.01,2.86605,-0.0116703329946541,0.269866826001086,0.270119048658377,0.9305,0.991075023182103 
0.02,2.86605,-0.000583970777156662,0.265138923116833,0.265139566216403,0.9315,0.971919296080786 
0.03,2.86605,-0.00195418207158449,0.263362200302952,0.26336945034681,0.9395,0.996189260861314 
0.04,2.86605,0.000653127685910082,0.278424185104789,0.278424951157471,0.9415,1.0364582497049 
0.05,2.86605,-0.00410565894994264,0.288099577183412,0.288128830228205,0.9385,1.07384746432868 
0.06,2.86605,-0.0128194872704124,0.301439538282073,0.301712005882407,0.9355,1.1143029357749 
0.07,2.86605,-0.00974492230573443,0.310130608880377,0.310283673555761,0.932,1.14776794799452 
0.08,2.86605,-0.00648265424951111,0.312656398251221,0.312723597084622,0.9495,1.18264660375783 
0.09,2.86605,-0.0100105470749345,0.31614498215788,0.316303431527933,0.946,1.20389423915298 
0.10,2.86605,-0.00592352274350594,0.332724822077402,0.332777546340092,0.939,1.22824058135582 
