h,TRUE,BIAS,SDEV,RMSE,CF95,CF95Length 
0.00,2.8483,0.0156218813403655,0.545697043562725,0.545920604602639,0.924,1.59960320185259 
0.01,2.8483,-0.0116628847439211,0.412259954480146,0.412424893706141,0.9395,1.55480190152153 
0.02,2.8483,0.00527473523666222,0.444201012335632,0.444232329070969,0.929,1.65088717315184 
0.03,2.8483,-0.00211655136876443,0.46992826862917,0.469933035066174,0.937,1.78707762435129 
0.04,2.8483,-0.0202471747273152,0.521844861009078,0.52223750061253,0.929,1.90214558539185 
0.05,2.8483,0.00528172771355662,0.533474258265698,0.533500403823443,0.937,1.98932093972306 
0.06,2.8483,-0.00883445462652332,0.547627469992511,0.547698725102539,0.9335,2.06207430912736 
0.07,2.8483,-0.0144386024511101,0.57632496432484,0.57650580026984,0.9325,2.12553224534704 
0.08,2.8483,-0.0151408550909982,0.579280551077825,0.579478388164662,0.937,2.1619795501811 
0.09,2.8483,-0.0108468184960042,0.594687012879633,0.594785925152224,0.9395,2.18855604587693 
0.10,2.8483,0.000472408721141182,0.577492084449213,0.577492277672608,0.946,2.21137342916964 
