h,TRUE,BIAS,SDEV,RMSE,CF95,CF95Length 
0.00,2.8847,-0.0154082130241453,0.379409813278776,0.379722555875778,0.9315,1.35865192606821 
0.01,2.8847,-0.00414870571306958,0.356771591113297,0.356795711836069,0.9315,1.31288176001659 
0.02,2.8847,-0.00581503653581494,0.351347891955915,0.351396009982723,0.932,1.29995257004705 
0.03,2.8847,0.00719576572535052,0.351111695068458,0.351185423185844,0.939,1.32031130551661 
0.04,2.8847,0.0110305765416165,0.368696315048477,0.368861283342623,0.9325,1.35943966257307 
0.05,2.8847,-0.0124787346729192,0.37935468612518,0.37955987235767,0.9285,1.39835125336927 
0.06,2.8847,-0.00123699616000605,0.392757715948841,0.392759663912742,0.9385,1.45302709176002 
0.07,2.8847,-0.0013792819069085,0.412482955000318,0.412485261051074,0.9335,1.50494437413113 
0.08,2.8847,0.0125031536039479,0.402727322466305,0.402921363433268,0.939,1.54718180837855 
0.09,2.8847,-0.00574627295064145,0.415714388942032,0.415754101394406,0.946,1.58797630181942 
0.10,2.8847,-0.00933260781052558,0.435717795777913,0.435817731541649,0.94,1.62200003039952 
