h,TRUE,BIAS,SDEV,RMSE,CF95,CF95Length 
0.00,2.8847,0.00320394383397771,0.280456322035749,0.280474622427611,0.939,1.00585511780511 
0.01,2.8847,0.00344937319073058,0.256507181953049,0.256530373579628,0.9375,0.963068601446388 
0.02,2.8847,-0.00159670098492448,0.254318081807184,0.254323094091199,0.937,0.965810356950548 
0.03,2.8847,-0.00206375584468388,0.274680735127183,0.274688487815191,0.9355,1.01235390701704 
0.04,2.8847,3.1833843506579e-05,0.282678677947625,0.282678679740108,0.9475,1.08240243774642 
0.05,2.8847,0.00067865034422665,0.300801443123443,0.300802208687762,0.9445,1.14701741032448 
0.06,2.8847,-0.00607969529345675,0.319408985693687,0.319466841529338,0.94,1.20212105321204 
0.07,2.8847,0.00130455178457467,0.329780837144437,0.32978341741671,0.9485,1.25801402908557 
0.08,2.8847,-0.00305981236785202,0.348453687969856,0.34846712199506,0.9335,1.29754259748141 
0.09,2.8847,0.00321896961419021,0.347511611558011,0.347526519755001,0.947,1.34456524881603 
0.10,2.8847,0.010714198312217,0.367664421436279,0.36782050083641,0.94,1.37243664498888 
