h,TRUE,BIAS,SDEV,RMSE,CF95,CF95Length 
0.00,2.8483,0.0199981676357059,0.693860081109331,0.694148211022569,0.918,1.70099585132371 
0.01,2.8483,0.000915549183127418,0.402456487604967,0.402457528996084,0.9205,1.44544515506427 
0.02,2.8483,-0.00346867321134958,0.407901341487244,0.407916089509768,0.922,1.45616054254871 
0.03,2.8483,0.0127875206354404,0.414817826180496,0.415014878770766,0.9275,1.51381616361132 
0.04,2.8483,0.00285898803168427,0.430885605821224,0.43089509061544,0.93,1.57594682337486 
0.05,2.8483,-0.00791511970342373,0.451876301465397,0.451945617243895,0.9245,1.64646706122186 
0.06,2.8483,0.000655802314490472,0.460691241688141,0.460691708461132,0.9355,1.68568623168275 
0.07,2.8483,-0.00891694793800601,0.461560261332143,0.461646387185609,0.9335,1.72849357955785 
0.08,2.8483,0.00398468404392416,0.472182303914461,0.472199116726088,0.9425,1.76672151796549 
0.09,2.8483,-0.0153904462163101,0.494204504843618,0.494444090309979,0.925,1.79165226748227 
0.10,2.8483,-0.00903406584319155,0.510207314839074,0.510287290122885,0.926,1.82848072365431 
