h,TRUE,BIAS,SDEV,RMSE,CF95,CF95Length 
0.00,2.8483,-0.010872842980822,0.417228493508539,0.417370140894016,0.928,1.23718433751057 
0.01,2.8483,0.00242102769356656,0.286205526074223,0.286215765691752,0.927,1.03949215039832 
0.02,2.8483,5.62877333232237e-06,0.283010457221853,0.283010457277828,0.9355,1.03756938818129 
0.03,2.8483,0.00863750292177112,0.29263944956511,0.292766893446808,0.938,1.07378909096416 
0.04,2.8483,-0.00501381884930518,0.300074840437166,0.300116724363779,0.9415,1.11847385348992 
0.05,2.8483,0.00374561194276168,0.308728921832431,0.308751642561851,0.936,1.16447888247541 
0.06,2.8483,-0.00139465828334684,0.328500694298184,0.32850365481394,0.926,1.1960637929906 
0.07,2.8483,0.00425590007130605,0.331618923141658,0.33164623150437,0.938,1.2269449021673 
0.08,2.8483,-0.000844030699607146,0.341900520053952,0.341901561858065,0.93,1.25218406385842 
0.09,2.8483,-0.0023585841769429,0.342110883473418,0.342119013663787,0.9375,1.27758245289639 
0.10,2.8483,-0.000279146239089201,0.341781235295815,0.341781349290677,0.9405,1.29158506783972 
