h,TRUE,BIAS,SDEV,RMSE,CF95,CF95Length 
0.00,2.86605,0.0135101487095093,0.49685717454852,0.497040819267886,0.917,1.5208769788598 
0.01,2.86605,-0.000933518215067597,0.389973691873308,0.389974809198691,0.931,1.39581718400386 
0.02,2.86605,-0.0132523614298288,0.380271860477432,0.380502710837169,0.924,1.37700331054395 
0.03,2.86605,-0.0104127897205744,0.381651021310668,0.38179304375177,0.9355,1.41054495686432 
0.04,2.86605,-0.0101168820684854,0.398610258011863,0.398738622527429,0.936,1.46418643525046 
0.05,2.86605,0.00149104077040629,0.414024707168987,0.41402739202732,0.937,1.52595548595809 
0.06,2.86605,0.00182437587793238,0.433930125582653,0.433933960684712,0.932,1.57776157147261 
0.07,2.86605,0.00685904993282982,0.43458182845952,0.434635953636144,0.9345,1.62271802821452 
0.08,2.86605,-0.000862264938620072,0.446628937920857,0.44662977026743,0.935,1.66716390415803 
0.09,2.86605,0.0114899960675312,0.465170191626134,0.465312075049774,0.9295,1.69493033949686 
0.10,2.86605,0.00787041896733154,0.45935423973083,0.459421659321163,0.946,1.72796335804392 
