h,TRUE,BIAS,SDEV,RMSE,CF95,CF95Length 
0.00,2.8847,0.000119156198600923,0.273708732128621,0.273708758065314,0.943,0.997595499698843 
0.01,2.8847,-0.00224238614976091,0.250034178659653,0.250044233674068,0.9365,0.942367958327475 
0.02,2.8847,-0.00516597375249006,0.238490889840774,0.23854683360266,0.943,0.921234491199534 
0.03,2.8847,0.00672098097509011,0.252332071733434,0.252421564075961,0.933,0.931355629804393 
0.04,2.8847,-0.00533943948415372,0.258008916509182,0.258064159875499,0.94,0.957411786534933 
0.05,2.8847,-0.00383731100403972,0.255722039623973,0.255750828943303,0.944,0.989848049457029 
0.06,2.8847,0.000682120440703926,0.277474314286931,0.27747515272056,0.9365,1.02635880787232 
0.07,2.8847,0.00733183859955178,0.267987398509314,0.268087675242708,0.954,1.06327701638085 
0.08,2.8847,-0.00512884317061602,0.28629950086271,0.286345436887871,0.944,1.09635551587817 
0.09,2.8847,-0.0053894507185408,0.291864798054278,0.291914553460961,0.945,1.12679074548316 
0.10,2.8847,-0.000410862073090268,0.308275109413367,0.308275383207071,0.94,1.15134506290333 
