h,TRUE,BIAS,SDEV,RMSE,CF95,CF95Length 
0.00,1.47954,0.0119420914712078,0.395010516775943,0.395190994219636,0.8765,1.15952971419936 
0.01,1.47954,1.04265675693327e-05,0.360240485085755,0.360240485236645,0.902,1.22241538587448 
0.02,1.47954,-0.0103023121078054,0.399127013184397,0.399259953273884,0.901,1.36047943118027 
0.03,1.47954,-0.00180841922456709,0.445041598808795,0.445045273034531,0.927,1.56629615787983 
0.04,1.47954,-0.0063046847117747,0.50111494237828,0.501154601419664,0.91,1.73925713232244 
0.05,1.47954,0.0162270871340064,0.525536129415442,0.525786593284594,0.9345,1.90698829214093 
0.06,1.47954,-0.00991225491535119,0.529006218415034,0.529099075711989,0.946,2.02953208703693 
0.07,1.47954,0.00706420790806095,0.563091329873022,0.56313563979874,0.935,2.11769931860946 
0.08,1.47954,-0.0155671848155292,0.589473660088976,0.589679178182318,0.9325,2.17698401665415 
0.09,1.47954,-0.0285096438376962,0.596032305264128,0.596713757768516,0.942,2.21531669541689 
0.10,1.47954,0.0118782097483794,0.618556613801155,0.61867065256401,0.9285,2.26702751101465 
