h,TRUE,BIAS,SDEV,RMSE,CF95,CF95Length 
0.00,1.47289,-0.00200606135035497,0.356599305321986,0.356604947860044,0.8675,0.945614956863008 
0.01,1.47289,-0.00322717605292322,0.284102150174677,0.284120478669088,0.898,0.935343797998283 
0.02,1.47289,-0.0151353918014656,0.306353854336091,0.306727507979905,0.9255,1.08132096136029 
0.03,1.47289,0.00514013953709735,0.344171040053488,0.344209421495055,0.9315,1.2399084646353 
0.04,1.47289,-0.0125598626936738,0.388329556496573,0.38853261716323,0.9215,1.38022514720535 
0.05,1.47289,0.00597951510349493,0.396230593001937,0.396275708858794,0.9375,1.4862416951306 
0.06,1.47289,-0.0108875591368369,0.417154130447253,0.417296186770454,0.9375,1.54717225532074 
0.07,1.47289,-0.00439580995765398,0.423448635178235,0.423471450961566,0.938,1.59652041419209 
0.08,1.47289,-0.00495592741438977,0.433548087917835,0.433576412819871,0.9405,1.63674434253322 
0.09,1.47289,0.00201133229016892,0.450510433166806,0.450514923004471,0.937,1.66911550192842 
0.10,1.47289,-0.0121394200410399,0.436095558487603,0.436264485893073,0.9515,1.68101027912876 
