h,TRUE,BIAS,SDEV,RMSE,CF95,CF95Length 
0.00,1.47289,0.00277665809450212,0.332081212162786,0.332092820310345,0.8755,0.934715641292227 
0.01,1.47289,0.00580296373688638,0.266211281261823,0.266274521235497,0.8985,0.882242772416125 
0.02,1.47289,0.00193476534380532,0.274110292823434,0.274117120860198,0.9025,0.932354087778588 
0.03,1.47289,-0.00227943296751798,0.299100100407912,0.299108786027218,0.9135,1.01839504701281 
0.04,1.47289,0.00035562113676213,0.311703767046876,0.311703969909923,0.9255,1.1145200155176 
0.05,1.47289,-0.00318093568350486,0.331299054954751,0.331314325325262,0.932,1.18986677499603 
0.06,1.47289,-0.00113742679647277,0.351520201999766,0.351522042201729,0.9245,1.2565443559826 
0.07,1.47289,0.0078382349595254,0.359902397183491,0.359987740660295,0.9325,1.30708648427871 
0.08,1.47289,-0.00067809146884068,0.373954743718074,0.373955358508594,0.9305,1.33293734363807 
0.09,1.47289,-0.00267497814060302,0.383999310153812,0.384008627125298,0.9175,1.36717859568638 
0.10,1.47289,-0.000164049314890891,0.382827694645301,0.382827729794504,0.926,1.38560085639501 
