h,TRUE,BIAS,SDEV,RMSE,CF95,CF95Length 
0.00,1.47954,-0.00691019018676431,0.284373304526565,0.284457249961705,0.8835,0.869718666855045 
0.01,1.47954,0.00179864583123868,0.248139624469935,0.248146143147353,0.917,0.865678485187721 
0.02,1.47954,0.00376587915317295,0.268981050843995,0.269007411717477,0.922,0.959220498840958 
0.03,1.47954,0.00593957130507561,0.298257825733777,0.2983169608298,0.936,1.10011203204017 
0.04,1.47954,-0.00484352986254732,0.331058170228571,0.33109359984243,0.946,1.23758769392429 
0.05,1.47954,-0.00686826978127653,0.368304258921475,0.368368294332568,0.9345,1.35354770692225 
0.06,1.47954,-0.00495243524407174,0.382813836889931,0.382845870200055,0.939,1.43694552478282 
0.07,1.47954,-0.0062550435330031,0.397796886764753,0.397846061548094,0.9395,1.5006878152865 
0.08,1.47954,0.00377303378193994,0.410639451027549,0.410656784339582,0.9405,1.54835622453324 
0.09,1.47954,-0.0117237547825226,0.422167624395687,0.422330379577528,0.9365,1.59075578864805 
0.10,1.47954,-0.00430175643370045,0.439645220303766,0.439666265301719,0.9325,1.61820413218659 
