h,TRUE,BIAS,SDEV,RMSE,CF95,CF95Length 
0.00,1.488699,-0.00096197471288284,0.325905522143349,0.325906941869726,0.9035,1.08984225278925 
0.01,1.488699,0.0027049544446649,0.336526538516616,0.336537409368592,0.9055,1.12315421632169 
0.02,1.488699,-0.00177357705870662,0.335820323566334,0.335825006954188,0.9235,1.20660722753886 
0.03,1.488699,0.000649093365272524,0.372455842370415,0.372456407970184,0.9275,1.34331556026489 
0.04,1.488699,-0.0034035497263627,0.421249814012547,0.421263563528043,0.9305,1.52062447469936 
0.05,1.488699,0.00796685056206892,0.465441971689644,0.46551014996262,0.927,1.68117941627617 
0.06,1.488699,0.00262798797297936,0.499502123334366,0.499509036491159,0.9355,1.82747401767766 
0.07,1.488699,-0.00169484254137342,0.525924064306168,0.525926795198304,0.933,1.93678962578503 
0.08,1.488699,-0.000841563836054826,0.548407167207123,0.548407812921945,0.938,2.02165333496756 
0.09,1.488699,0.00302838465435462,0.555454823494353,0.555463078932126,0.9415,2.09054161552958 
0.10,1.488699,-0.00754441358468561,0.570751651200756,0.57080151149478,0.947,2.16138710366186 
