h,TRUE,BIAS,SDEV,RMSE,CF95,CF95Length 
0.00,1.488699,-0.00587025253111784,0.356319326850713,0.356367678882533,0.8935,1.10519260918321 
0.01,1.488699,-0.00821902443216138,0.315646944849279,0.31575393292135,0.9155,1.09515784993789 
0.02,1.488699,-0.0047686567685743,0.315434617007281,0.315470660591292,0.918,1.1143316110137 
0.03,1.488699,0.00240455103037363,0.333622461084242,0.333631126254078,0.9195,1.18033049864639 
0.04,1.488699,-0.000327921412094145,0.37515233834116,0.375152481659514,0.907,1.27976955895408 
0.05,1.488699,-0.00231125738880977,0.390243336123153,0.390250180396173,0.927,1.38675091931103 
0.06,1.488699,0.0114154928041297,0.406130842136065,0.406291243334274,0.9365,1.49146344774322 
0.07,1.488699,0.025664464550931,0.423929770478091,0.424705915944543,0.9395,1.58761240583408 
0.08,1.488699,0.00672409566355303,0.455105161815636,0.455154832747856,0.9335,1.66475955037739 
0.09,1.488699,-0.0104526536779943,0.469079224366823,0.469195669951773,0.9335,1.72296231528114 
0.10,1.488699,-0.00414749074295906,0.487310054597436,0.487327703902845,0.93,1.78417563438726 
