h,TRUE,BIAS,SDEV,RMSE,CF95,CF95Length 
0.00,1.488699,-0.00135191264600376,0.24086882253304,0.240872616410118,0.9095,0.804597220979488 
0.01,1.488699,-0.00963239339004551,0.217900889063769,0.218113687001072,0.92,0.78173938820282 
0.02,1.488699,0.000794407559526533,0.228152158004141,0.22815354103173,0.9145,0.787892785539609 
0.03,1.488699,-0.00182232882645805,0.235759346444022,0.235766389288347,0.9205,0.828879452620815 
0.04,1.488699,-0.00842522501440457,0.250376529946624,0.250518245173193,0.921,0.898322639584091 
0.05,1.488699,-0.00287466394742597,0.271937273114106,0.271952466805408,0.93,0.976974752840451 
0.06,1.488699,-0.00152444758578096,0.28731857202624,0.287322616185429,0.9445,1.0527485009461 
0.07,1.488699,-0.0129500587197902,0.29725269731075,0.297534653577297,0.9385,1.11891146860826 
0.08,1.488699,-0.00224050035751411,0.318331368900327,0.318339253419694,0.9415,1.17887768507672 
0.09,1.488699,-0.00127116534724125,0.337647587432165,0.337649980245967,0.9325,1.2270737916986 
0.10,1.488699,-0.0130555209295311,0.342532592576168,0.342781305796703,0.9335,1.27088477255146 
