h,TRUE,BIAS,SDEV,RMSE,CF95,CF95Length 
0.00,1.47954,0.00917795265498023,0.680493261364686,0.680555151018405,0.8965,0.918854082552401 
0.01,1.47954,0.000383341128116665,0.24451016610386,0.244510466603288,0.905,0.824679364702936 
0.02,1.47954,0.00427886867027527,0.24739128741357,0.247428288207394,0.9235,0.859473510646214 
0.03,1.47954,0.000911083049881078,0.272376688487408,0.27237821224116,0.913,0.926623903130514 
0.04,1.47954,0.00924011066791652,0.283326280433556,0.283476914103194,0.9245,1.01086732668218 
0.05,1.47954,-0.00165535726295962,0.290022841731973,0.290027565817384,0.939,1.09684022050398 
0.06,1.47954,-0.0128184137496417,0.324317306167032,0.324570526712604,0.935,1.16118586957532 
0.07,1.47954,-0.0129809449941327,0.329423090154643,0.329678748571961,0.931,1.2231274338559 
0.08,1.47954,-0.0140543822168673,0.346981047717567,0.347265565719779,0.929,1.26486136966152 
0.09,1.47954,0.00132116237873681,0.345952140195492,0.345954662890779,0.9365,1.30596292875058 
0.10,1.47954,-0.00313638551751727,0.368690356503254,0.368703696608281,0.938,1.33668467462151 
