h,TRUE,BIAS,SDEV,RMSE,CF95,CF95Length 
0.00,1.47954,0.000354443379770197,0.369319693919468,0.369319864002573,0.872,1.14234723281862 
0.01,1.47954,0.00398336456987858,0.350570286381934,0.35059291619656,0.897,1.14746479846553 
0.02,1.47954,-0.0168467817934577,0.362252806814297,0.362644330028243,0.901,1.21219720867246 
0.03,1.47954,-0.00727764128265584,0.378917585732401,0.378987467919337,0.9175,1.31439249661709 
0.04,1.47954,-0.0138107729770625,0.400202228051865,0.400440458480285,0.9205,1.43066842060436 
0.05,1.47954,-0.00989403252790511,0.438802796040528,0.438914326141958,0.914,1.53282580576117 
0.06,1.47954,-0.00084149943354217,0.466094346108921,0.466095105741306,0.921,1.63701160779957 
0.07,1.47954,0.00574887445182304,0.472072847335254,0.472107850759418,0.9275,1.71545827496565 
0.08,1.47954,0.00916025227459838,0.489467934366818,0.489553642612384,0.937,1.77487350804579 
0.09,1.47954,0.000530928653837748,0.5158806704121,0.515880943619817,0.919,1.82943178627194 
0.10,1.47954,0.00161502353241549,0.531981308949863,0.531983760441068,0.9285,1.87614127913226 
