h,TRUE,BIAS,SDEV,RMSE,CF95,CF95Length 
0.00,1.7339,-0.00158034652043959,0.25677837224192,0.256783235329596,0.9385,0.891644272448172 
0.01,1.7339,0.00376481794495498,0.231599027746179,0.231629625711251,0.9315,0.858834679390457 
0.02,1.7339,-0.00830482176652447,0.229238232365618,0.229388616201168,0.9415,0.867095059278004 
0.03,1.7339,0.0019774166539821,0.249555384279114,0.249563218442381,0.9365,0.92065603077845 
0.04,1.7339,-0.00150064338114397,0.261655451825364,0.261659755026433,0.939,0.989216990926859 
0.05,1.7339,-0.00407658341466832,0.28233357588994,0.282363005025688,0.9315,1.05344040365438 
0.06,1.7339,-0.0159969408730254,0.308878669116565,0.309292635464402,0.9285,1.12203239974035 
0.07,1.7339,0.00235690321621651,0.318045446355605,0.318054179253012,0.9255,1.17212511458324 
0.08,1.7339,-0.00645101550366456,0.322518611013462,0.322583121150319,0.9415,1.22418192493986 
0.09,1.7339,0.00555362283133642,0.335417080754623,0.335463054282444,0.948,1.2674621759197 
0.10,1.7339,0.00836222437581524,0.344848891972602,0.344950264663246,0.951,1.3073288252274 
