h,TRUE,BIAS,SDEV,RMSE,CF95,CF95Length 
0.00,1.738719,0.0081749644857223,0.670831353130974,0.670881162641996,0.93,1.21568558423016 
0.01,1.738719,-0.00644087513267388,0.260604463914627,0.260684045320585,0.9325,0.954093441489057 
0.02,1.738719,-0.0080267296858092,0.261829806192728,0.261952812163509,0.935,0.946518315031263 
0.03,1.738719,0.00567754707371249,0.272356165838172,0.272415336592571,0.9325,0.990444033360107 
0.04,1.738719,-0.00164338768959627,0.285650047845107,0.28565477513427,0.922,1.03962246215758 
0.05,1.738719,-0.00643080329575807,0.299966859493862,0.300035784575172,0.9265,1.08305888306995 
0.06,1.738719,-0.00546276449106275,0.315105112136112,0.315152460707824,0.922,1.12417666542562 
0.07,1.738719,0.00381107166031436,0.308615664591883,0.308639195013676,0.9385,1.15868963688043 
0.08,1.738719,-1.1418137389585e-05,0.315712938687547,0.315712938894022,0.9405,1.18526284130439 
0.09,1.738719,0.0143418547214846,0.316367053114174,0.316691965627483,0.9415,1.20311935359198 
0.10,1.738719,-0.00144856580815667,0.338869884624923,0.338872980700157,0.931,1.22334713930027 
