h,TRUE,BIAS,SDEV,RMSE,CF95,CF95Length 
0.00,1.738719,-0.00189532337627707,0.388279847859433,0.388284473684495,0.9165,1.14474335060068 
0.01,1.738719,0.000745458416123279,0.276927339342128,0.276928342686985,0.9335,1.02795405825327 
0.02,1.738719,-0.00346519061799322,0.289509983131317,0.289530720094975,0.9465,1.10131724506987 
0.03,1.738719,0.000637196318228783,0.312769531378964,0.312770180449103,0.9425,1.19131607423383 
0.04,1.738719,-0.00365170456567543,0.34758059485201,0.347599776846753,0.9345,1.27439310083383 
0.05,1.738719,-0.0060199881176477,0.35367556562613,0.353726795674146,0.9475,1.35307989697367 
0.06,1.738719,-0.000174487817090396,0.374056145056297,0.374056185753392,0.9395,1.40113181334326 
0.07,1.738719,-0.00330128836381949,0.374563819605537,0.374578367584609,0.943,1.44034867215864 
0.08,1.738719,0.00114264076500525,0.390725224935415,0.390726895706898,0.934,1.47108868481538 
0.09,1.738719,0.00445636588388565,0.400974756965596,0.400999519850722,0.938,1.50387770832249 
0.10,1.738719,-0.0123492935510898,0.406309767469476,0.406497395062146,0.943,1.50919027302173 
