h,TRUE,BIAS,SDEV,RMSE,CF95,CF95Length 
0.00,1.738719,0.0198416327072104,0.584661437213599,0.584998022691666,0.901,1.52507301425284 
0.01,1.738719,-0.00842322171743271,0.384538409740457,0.384630653003398,0.9095,1.33602650260489 
0.02,1.738719,0.0106356449960456,0.365032099782687,0.365187008005815,0.927,1.33328763388357 
0.03,1.738719,-0.00137832257227144,0.393340574596504,0.393342989510454,0.9155,1.39457238543245 
0.04,1.738719,-0.00556010730783019,0.408990090932213,0.409027883247602,0.924,1.46019972927396 
0.05,1.738719,-0.00791393356900416,0.42552422738446,0.425597813006219,0.9355,1.53606242260185 
0.06,1.738719,0.010621728101164,0.42826834516669,0.428400042693357,0.9375,1.58610880431927 
0.07,1.738719,-0.0127246918237662,0.441809757579378,0.441992963376521,0.9295,1.63118232115283 
0.08,1.738719,-0.00172265439189556,0.46147271642314,0.46147593170295,0.9305,1.66712384376162 
0.09,1.738719,-0.0111981941561952,0.477773347676889,0.477904562964973,0.922,1.68490758708574 
0.10,1.738719,-0.0268804874559911,0.470754134147749,0.471520959685854,0.9295,1.72169723023446 
