h,TRUE,BIAS,SDEV,RMSE,CF95,CF95Length 
0.00,1.73659,0.00886084050495839,0.349850065581188,0.349962259224643,0.932,1.03080948103453 
0.01,1.73659,0.00384563599638876,0.240351403556591,0.240382166784144,0.936,0.891171492777799 
0.02,1.73659,-0.000695608648806578,0.240353730231322,0.240354736811038,0.9295,0.874480110480343 
0.03,1.73659,-0.00199797982903704,0.251564741384346,0.251572675446222,0.926,0.904201116376747 
0.04,1.73659,-0.00322049974314331,0.259115514616546,0.259135527347357,0.934,0.943066670070247 
0.05,1.73659,0.00520387084310636,0.269096412345729,0.269146724685801,0.933,0.988714911838457 
0.06,1.73659,0.00330975208521345,0.28301517534402,0.283034527812195,0.927,1.02908745390604 
0.07,1.73659,0.000352455388760831,0.285592151505743,0.285592368992031,0.941,1.06971519852233 
0.08,1.73659,-0.00106131610249482,0.287945360940148,0.287947316846019,0.9495,1.09718036009841 
0.09,1.73659,-0.00789559436813847,0.308684310423077,0.308785271526666,0.939,1.13088790294106 
0.10,1.73659,0.002571896501117,0.31665101311778,0.316661457648589,0.9305,1.15017133557399 
