h,TRUE,BIAS,SDEV,RMSE,CF95,CF95Length 
0.00,1.73659,0.00572516319982208,0.453377326185664,0.453413472884217,0.926,1.35906735507306 
0.01,1.73659,-9.03239188565497e-05,0.341497409001445,0.341497420946499,0.9415,1.29934988187571 
0.02,1.73659,NaN,NA,NaN,NA,NA 
0.03,1.73659,0.00331171281350962,0.410333643630278,0.410347007466436,0.932,1.49210382067113 
0.04,1.73659,-0.00325202171174221,0.425584488918612,0.425596913585296,0.9395,1.59922384332749 
0.05,1.73659,0.00966678499260509,0.453089017761358,0.453192127853127,0.939,1.69537191028924 
0.06,1.73659,-0.000325872321293774,0.47809576641356,0.4780958774716,0.9355,1.78924176114995 
0.07,1.73659,-0.00500603267074839,0.500668625594819,0.500693651865196,0.932,1.85089086847328 
0.08,1.73659,-0.00727695711273579,0.49784389777996,0.497897078382233,0.9495,1.90973754971678 
0.09,1.73659,-0.00539291130059727,0.513823322708558,0.513851622992046,0.9435,1.95482137866452 
0.10,1.73659,-0.0405776313123587,0.528130982620795,0.529687529555801,0.9385,1.98882049580692 
