h,TRUE,BIAS,SDEV,RMSE,CF95,CF95Length 
0.00,1.7339,-0.00176188240628838,0.415061946296293,0.415065685756942,0.932,1.25372589870167 
0.01,1.7339,0.00251551648372739,0.318134432454763,0.318144377502564,0.938,1.16279634621958 
0.02,1.7339,-0.00722036377069135,0.30885709209358,0.308941478260015,0.942,1.14253307712223 
0.03,1.7339,-0.000985893343897981,0.322995989296421,0.322997493933404,0.925,1.16844542690946 
0.04,1.7339,0.00149388076379409,0.32245979750597,0.322463257887356,0.9375,1.20486628446762 
0.05,1.7339,0.00151671198289427,0.340074245869251,0.340077628077442,0.935,1.25583751747616 
0.06,1.7339,0.00301042670510898,0.367920530696227,0.367932846558635,0.9195,1.31657776748222 
0.07,1.7339,-0.00761232815232082,0.371731307971343,0.371809242577406,0.93,1.36846251327233 
0.08,1.7339,0.0103093623844712,0.372849633457061,0.372992134128643,0.937,1.41506254450324 
0.09,1.7339,-0.00446048979230218,0.398204190015817,0.398229171351547,0.941,1.46903152795856 
0.10,1.7339,0.00965784910167122,0.400560758498508,0.400677170922141,0.9455,1.51141908637573 
