h,TRUE,BIAS,SDEV,RMSE,CF95,CF95Length 
0.00,1.7339,0.00884293101287525,0.392501433184621,0.392601034742498,0.928,1.22300742102549 
0.01,1.7339,-0.00134152360204265,0.320180746534553,0.320183556943511,0.9365,1.18165391437467 
0.02,1.7339,0.0104328858160441,0.32392688526694,0.324094850476202,0.94,1.22683924744553 
0.03,1.7339,0.00196468838393837,0.346671542788901,0.346677109974228,0.935,1.29839736693535 
0.04,1.7339,-0.0194512724309028,0.378052495274566,0.378552560660349,0.931,1.39992530050002 
0.05,1.7339,0.00188975156845017,0.414914674374266,0.414918977840365,0.934,1.49538570036253 
0.06,1.7339,0.00770485639075513,0.42229696134686,0.42236724349172,0.9345,1.59931667247597 
0.07,1.7339,0.00262281515376039,0.436854950650113,0.436862824084224,0.9405,1.65734769713073 
0.08,1.7339,0.00469239056446447,0.460989593116076,0.461013474304748,0.9445,1.72887216818543 
0.09,1.7339,-0.00605876216089718,0.471975072996963,0.472013959676418,0.9385,1.77905341822724 
0.10,1.7339,-0.00231548460972686,0.488611111871032,0.488616598278061,0.941,1.83489879062097 
