h,TRUE,BIAS,SDEV,RMSE,CF95,CF95Length 
0.00,3.21555,-1.81156633102107,0.775573733265521,1.97060579198899,0.151,2.04774798535328 
0.01,3.21555,-1.81985618064758,0.712849939911846,1.95449010104261,0.192,2.20283184083274 
0.02,3.21555,-1.86314691985354,0.782592643781187,2.02083341497021,0.2395,2.50953227880995 
0.03,3.21555,-1.92511897275411,0.883417570080489,2.11813825384104,0.3005,2.92150201338875 
0.04,3.21555,-1.88342893164037,0.985677941243512,2.12576234428829,0.39,3.35419103555743 
0.05,3.21555,-1.95303278643415,1.09717143795676,2.24011656597482,0.4145,3.69185106598874 
0.06,3.21555,-1.91928513354213,1.08936328085222,2.20689097635224,0.476,3.96449566710893 
0.07,3.21555,-1.97236914047443,1.15415150623441,2.28523647039841,0.484,4.12194941602247 
0.08,3.21555,-1.95339973777019,1.21279835722997,2.29927170878528,0.4975,4.2669941784797 
0.09,3.21555,-1.99128528807627,1.17376864459095,2.3114821932115,0.5225,4.38668232828027 
0.10,3.21555,-2.00236030769214,1.24994996824873,2.36047065750582,0.5275,4.45968158719838 
