h,TRUE,BIAS,SDEV,RMSE,CF95,CF95Length 
0.00,3.21555,-1.75745138810956,0.639522982260395,1.87019384728093,0.108,1.69219419233901 
0.01,3.21555,-1.81614223346084,0.49234515577478,1.88169507747005,0.0699999999999999,1.52043418939446 
0.02,3.21555,-1.84321710423741,0.477708696587583,1.90411525180298,0.042,1.56229042892652 
0.03,3.21555,-1.87234259843419,0.511609989744835,1.9409821193195,0.0520000000000002,1.70711405574919 
0.04,3.21555,-1.90001122269645,0.548584049454279,1.977621577979,0.0705000000000004,1.90366068481769 
0.05,3.21555,-1.91546707290901,0.586291594048213,2.00318544839219,0.104,2.08173011383447 
0.06,3.21555,-1.91735459596703,0.630680432238489,2.01841681876773,0.1355,2.23768795502657 
0.07,3.21555,-1.89464431839673,0.651963789084951,2.0036800831248,0.178,2.37607408026192 
0.08,3.21555,-1.94579105304067,0.684549548205833,2.06269505890763,0.187,2.48116760328272 
0.09,3.21555,-1.91707485970023,0.723899980202038,2.04919672043246,0.2135,2.57185650196423 
0.10,3.21555,-1.93295970387925,0.74693303069987,2.07225533397105,0.2155,2.62136436106138 
