h,TRUE,BIAS,SDEV,RMSE,CF95,CF95Length 
0.00,3.2091,-1.89147081700626,0.693867453048793,2.01472427244691,0.1045,1.74106170787003 
0.01,3.2091,-1.93857054186591,0.509166479019107,2.00432189259784,0.0574999999999999,1.61391173276955 
0.02,3.2091,-1.98317232447005,0.50992814898142,2.04768141703429,0.043,1.6765189217315 
0.03,3.2091,-2.03513796335217,0.570647923630154,2.11362853468168,0.054,1.87389426143702 
0.04,3.2091,-2.04333025197072,0.619755505950323,2.13525066579418,0.0885000000000001,2.08651534668931 
0.05,3.2091,-2.0326436377122,0.643486291537745,2.13206818965269,0.112,2.25358650083454 
0.06,3.2091,-2.02704535434574,0.684367358534826,2.13945590045754,0.135,2.35984125790454 
0.07,3.2091,-2.0538070208123,0.716824521351033,2.17530702962778,0.1535,2.46797141246209 
0.08,3.2091,-2.01582026779421,0.715022018177902,2.13887536769423,0.176,2.5498518037761 
0.09,3.2091,-2.04219444538434,0.721271370463483,2.16582329440998,0.179,2.60312789970346 
0.10,3.2091,-2.05541405718231,0.761011325666638,2.19177215610006,0.1885,2.65421121429016 
