h,TRUE,BIAS,SDEV,RMSE,CF95,CF95Length 
0.00,3.2091,-1.91457574628593,1.07445107731886,2.19546018087734,0.1715,2.33649331560594 
0.01,3.2091,-1.97177880800952,0.734659797413963,2.10419502082192,0.15,2.13428336082597 
0.02,3.2091,-1.96532238553178,0.759045700584774,2.10680859468737,0.1795,2.33928631568729 
0.03,3.2091,-2.00593726668488,0.817137863233844,2.16598675097647,0.2245,2.62210982624181 
0.04,3.2091,-2.02407392032174,0.879300036645505,2.20681757047822,0.2785,2.90116574139754 
0.05,3.2091,-2.01236355712316,0.942788949181991,2.22226418068084,0.315,3.10786703792341 
0.06,3.2091,-2.048612634441,0.983663359502891,2.27253324086136,0.3345,3.2812437141042 
0.07,3.2091,-2.01093914596837,0.991978139494677,2.24229723230961,0.364,3.40696118238244 
0.08,3.2091,-2.03914737139659,1.04550072039786,2.29154833216017,0.3845,3.49319169126976 
0.09,3.2091,-2.01631104133361,1.03569753226452,2.26675530080833,0.3985,3.61397599337425 
0.10,3.2091,-2.0448924274173,1.0479361462094,2.29777179159307,0.4155,3.67412763414799 
