h,TRUE,BIAS,SDEV,RMSE,CF95,CF95Length 
0.00,3.2305,-1.64134420200598,0.528820139726073,1.72443078424115,0.097,1.53081619764784 
0.01,3.2305,-1.64798268131814,0.46054615795495,1.71112526763285,0.0849999999999998,1.47115324226721 
0.02,3.2305,-1.69138696349439,0.421686211889332,1.74316067004059,0.0435000000000001,1.44966786339491 
0.03,3.2305,-1.72638435282593,0.452304080703606,1.7846517629788,0.046,1.54232859503102 
0.04,3.2305,-1.75250025526226,0.487468597923402,1.81903347375899,0.0625,1.69668937051702 
0.05,3.2305,-1.78651880066087,0.537768569285198,1.86570213571883,0.095,1.88140656434812 
0.06,3.2305,-1.80705626164212,0.592117979623623,1.90159302547458,0.1245,2.06201698320073 
0.07,3.2305,-1.85345584938965,0.617157937464459,1.95350518438322,0.1485,2.19925249047036 
0.08,3.2305,-1.8506450558212,0.647379373623485,1.96060887890181,0.1585,2.33759550483561 
0.09,3.2305,-1.82516832768258,0.681664761686655,1.94830856686022,0.2125,2.48567240616432 
0.10,3.2305,-1.83926748073001,0.719453824266061,1.97497308106262,0.239,2.58369396839913 
