h,TRUE,BIAS,SDEV,RMSE,CF95,CF95Length 
0.00,3.2091,-1.88060043341982,0.677746498186389,1.99899932615865,0.114,1.76250704094385 
0.01,3.2091,-1.95457370390488,0.544611295378214,2.02902928195972,0.072,1.72429225082204 
0.02,3.2091,-1.99357286116008,0.609180305073024,2.08457031467946,0.1005,2.02351584962884 
0.03,3.2091,-2.0378681560715,0.665364817234511,2.14373901432608,0.1335,2.344598964363 
0.04,3.2091,-2.04891166581642,0.74335215514546,2.1795897414142,0.1975,2.61636732107766 
0.05,3.2091,-2.06056564960707,0.791163325915455,2.20723134370057,0.2275,2.81035305528464 
0.06,3.2091,-2.07229820163678,0.844569689490082,2.23779306391641,0.2595,2.99534479492636 
0.07,3.2091,-2.02797720419739,0.876723544711579,2.2093745075464,0.3045,3.14080210253786 
0.08,3.2091,-2.07673677988672,0.877603061307851,2.25455600643479,0.2925,3.18242621423973 
0.09,3.2091,-2.11235342680749,0.896685094610259,2.29479436086146,0.301,3.25413674097082 
0.10,3.2091,-2.1143719579014,0.889102481876375,2.29370268335687,0.2945,3.26758299125683 
