h,TRUE,BIAS,SDEV,RMSE,CF95,CF95Length 
0.00,3.2305,-1.68785506789403,0.729474255244568,1.83874615411703,0.1675,1.98939634491296 
0.01,3.2305,-1.68607338092627,0.649219432628791,1.80674550437271,0.1955,2.03108641355603 
0.02,3.2305,-1.70422885874844,0.656361907931795,1.8262548992884,0.2305,2.2619631676944 
0.03,3.2305,-1.73682817813902,0.746200997814672,1.89034072312832,0.279,2.58793651440434 
0.04,3.2305,-1.82017646871712,0.813442747027634,1.99367286182146,0.333,2.94600798057104 
0.05,3.2305,-1.79879212179871,0.927612082724051,2.02388667505391,0.4025,3.32165193642788 
0.06,3.2305,-1.8191747259796,1.00348949256093,2.07759183799974,0.4655,3.65168901421078 
0.07,3.2305,-1.80228872039648,1.07495918240682,2.09851897192023,0.506,3.89871180365295 
0.08,3.2305,-1.81347612048753,1.15210628085118,2.14849820152478,0.5265,4.11338845897341 
0.09,3.2305,-1.83799252509875,1.21253144415685,2.2019193957518,0.548,4.29090177154657 
0.10,3.2305,-1.83818841432561,1.18151552357994,2.18515802152185,0.5655,4.37955398006138 
