h,TRUE,BIAS,SDEV,RMSE,CF95,CF95Length 
0.00,3.21555,-1.76324724799437,0.630528069300388,1.87259352336149,0.0885000000000001,1.66152775758937 
0.01,3.21555,-1.79603289797222,0.503904860106307,1.8653831452646,0.0859999999999998,1.64137063505559 
0.02,3.21555,-1.83881234638493,0.534111068185401,1.91481212613034,0.0855000000000001,1.80987103199337 
0.03,3.21555,-1.88701022617289,0.590939003444355,1.97737616539516,0.1165,2.10424934954502 
0.04,3.21555,-1.93015263896985,0.683972974820738,2.04775688010257,0.1755,2.40885087040105 
0.05,3.21555,-1.93366719857733,0.735672626776145,2.06888449378925,0.2365,2.63828751812092 
0.06,3.21555,-1.94825795600129,0.781744151669073,2.09924581261726,0.2715,2.83002133659168 
0.07,3.21555,-1.93885650125194,0.838020200137557,2.11221267591251,0.3035,3.00321279603526 
0.08,3.21555,-1.96566919850268,0.836538730407479,2.13627068636302,0.3155,3.10594098778064 
0.09,3.21555,-1.99012080138317,0.860326763116936,2.16811967922282,0.315,3.1524281401762 
0.10,3.21555,-1.98396952182521,0.879368454742705,2.17012072077291,0.341,3.23829028242098 
