h,TRUE,BIAS,SDEV,RMSE,CF95,CF95Length 
0.00,3.2305,-1.653669169629,0.687789434917287,1.79099861232926,0.194,1.9894748538566 
0.01,3.2305,-1.68375773441494,0.622018003651311,1.7949781349834,0.1625,1.94763799959295 
0.02,3.2305,-1.71266256319685,0.632100921375309,1.82558610593407,0.171,2.0007752935618 
0.03,3.2305,-1.75154487005165,0.652649158044841,1.86918708408251,0.1885,2.14737561515247 
0.04,3.2305,-1.77689305847683,0.706753692318103,1.91228913160861,0.2315,2.38403225631844 
0.05,3.2305,-1.81022471978545,0.766473900183034,1.96580664760909,0.266,2.61640733655008 
0.06,3.2305,-1.81062157953338,0.843109141288839,1.99729405155995,0.331,2.88704528786273 
0.07,3.2305,-1.8391857868503,0.882685404290902,2.04003379420547,0.358,3.08741365952402 
0.08,3.2305,-1.8053206764296,0.92779181595567,2.02977348452938,0.412,3.28336916878152 
0.09,3.2305,-1.7945918226889,0.972786081418831,2.04129188757122,0.439,3.43452620204153 
0.10,3.2305,-1.86448708792129,0.975233736399018,2.10413710143517,0.423,3.51839140248471 
