h,TRUE,BIAS,SDEV,RMSE,CF95,CF95Length 
0.00,3.21555,-1.82406414658587,0.843243755821249,2.00954473515559,0.17,2.15114203725932 
0.01,3.21555,-1.83798683062302,0.721328952404276,1.97446474952588,0.1735,2.07841551862012 
0.02,3.21555,-1.88878550138024,0.70212084191168,2.01506435303465,0.167,2.15223833787237 
0.03,3.21555,-1.91849528217619,0.72716527829795,2.05168065002681,0.194,2.38674049812688 
0.04,3.21555,-1.8864674229349,0.808409845447537,2.05238539655962,0.27,2.69667542220068 
0.05,3.21555,-1.89535088921969,0.862347900676014,2.08230614825635,0.314,2.91847258715007 
0.06,3.21555,-1.9291934797436,0.918009804908531,2.13647594982799,0.336,3.11314641827087 
0.07,3.21555,-1.93314169218603,0.945977724525892,2.15218741223135,0.361,3.28411399449404 
0.08,3.21555,-1.92048794483386,0.996768974827112,2.16375191171032,0.397,3.4214590790965 
0.09,3.21555,-1.95806245780957,1.00580966253705,2.2012863661814,0.393,3.52977377603834 
0.10,3.21555,-2.00703148080629,1.00797076327335,2.24592529362874,0.399,3.60392351961575 
