h,TRUE,BIAS,SDEV,RMSE,CF95,CF95Length 
0.00,3.2305,-1.61409985489466,0.50366122611903,1.69085569232466,0.112,1.5388477345066 
0.01,3.2305,-1.6428236336265,0.441568673251223,1.70113267689461,0.0840000000000001,1.49497716551374 
0.02,3.2305,-1.70145769173743,0.476803478675102,1.76700306565924,0.0749999999999999,1.59417598791875 
0.03,3.2305,-1.74980636782921,0.506887739017257,1.82174573002428,0.0889999999999999,1.81511669287683 
0.04,3.2305,-1.76775486359701,0.568912697006022,1.85704574919025,0.1545,2.11547034526801 
0.05,3.2305,-1.84027171319729,0.664297288969219,1.95649964644156,0.1865,2.36894679431986 
0.06,3.2305,-1.85219395530004,0.735478935871083,1.99287523773067,0.252,2.60824483253881 
0.07,3.2305,-1.8652861844837,0.760940654050493,2.01452804125745,0.293,2.79991909521683 
0.08,3.2305,-1.84897483566803,0.78979629027422,2.01059347533621,0.3185,2.96425201509591 
0.09,3.2305,-1.89336756945908,0.841565497758159,2.07197327205163,0.327,3.08836164785098 
0.10,3.2305,-1.84614505380438,0.8725357127148,2.04195252874524,0.3775,3.1863430269076 
